Date,Open,Close,High,Low,Volume,macd,macd_h,macd_s,rs,rsi,SMA_50,SMA_200,Output
2013-01-01,191.57,191.5,192.8,191.1,3982065,,,,,,,,
2013-01-02,192.0,190.27,193.03,189.67,9795333,,,,,,,,
2013-01-03,190.73,189.03,191.0,188.53,6524410,,,,,,,,
2013-01-04,189.87,188.27,189.87,186.73,9042460,,,,,,,,
2013-01-07,189.53,186.03,190.0,185.67,12167304,,,,,,,,
2013-01-08,186.1,190.47,190.8,186.1,13434565,,,,,,,,0.0
2013-01-09,189.83,186.33,190.47,185.8,10669104,,,,,,,,0.0
2013-01-10,186.7,187.33,188.0,185.67,12519904,,,,,,,,0.0
2013-01-11,186.5,182.27,187.13,181.4,13911154,,,,,,,,0.0
2013-01-14,182.37,185.27,185.67,182.37,10276843,,,,,,,,0.0
2013-01-15,185.5,189.4,190.13,183.17,17807784,,,,,,,,0.0
2013-01-16,189.97,189.33,190.57,188.3,8931352,,,,,,,,0.0
2013-01-17,188.73,190.2,191.23,187.67,12209722,,,,,,,,0.0
2013-01-18,191.13,191.63,193.23,189.77,24557727,,,,,,,,0.0
2013-01-21,192.67,194.37,194.67,190.87,20156620,,,,1.19,54.44,,,0.0
2013-01-22,194.4,192.77,194.5,192.0,12640141,,,,1.07,51.68,,,0.0
2013-01-23,193.0,195.17,195.63,192.5,11721829,,,,1.24,55.33,,,0.0
2013-01-24,195.33,198.3,199.07,195.23,20116144,,,,1.48,59.62,,,0.0
2013-01-25,199.33,199.83,200.33,198.1,20651284,,,,1.6,61.56,,,0.0
2013-01-28,200.0,200.5,200.8,198.93,8345394,,,,1.66,62.41,,,0.0
2013-01-29,199.4,203.43,204.5,199.4,14330721,,,,1.94,65.96,,,0.0
2013-01-30,203.2,202.8,204.63,200.0,11138686,,,,1.82,64.55,,,0.0
2013-01-31,203.77,205.1,206.27,202.07,13790790,,,,2.06,67.3,,,0.0
2013-02-01,205.17,206.27,206.63,203.03,9906601,,,,2.19,68.64,,,0.0
2013-02-04,206.27,204.83,207.27,204.17,11610360,,,,1.87,65.11,,,0.0
2013-02-05,203.33,201.63,204.47,201.33,7980306,3.81,,,1.38,57.99,,,0.0
2013-02-06,202.23,203.23,203.93,200.73,12331005,3.75,,,1.52,60.33,,,0.0
2013-02-07,202.03,202.7,203.6,201.33,6476691,3.62,,,1.45,59.16,,,0.0
2013-02-08,201.33,201.17,204.23,199.47,11290551,3.35,,,1.26,55.78,,,0.0
2013-02-11,202.0,199.43,202.33,197.7,8051706,2.96,,,1.09,52.14,,,0.0
2013-02-12,199.0,200.03,200.63,198.67,6626751,2.68,,,1.14,53.27,,,0.0
2013-02-13,200.67,200.23,203.0,199.47,10594477,2.44,,,1.16,53.67,,,0.0
2013-02-14,200.23,200.5,201.3,199.4,11560888,2.24,,,1.18,54.23,,,0.0
2013-02-15,199.67,200.4,201.3,199.57,7008396,2.06,-0.75,2.8,1.17,53.97,,,0.0
2013-02-18,200.3,200.2,200.6,199.17,11202054,1.87,-0.75,2.62,1.15,53.41,,,0.0
2013-02-19,200.0,201.1,201.7,199.0,5588526,1.78,-0.67,2.45,1.25,55.62,,,0.0
2013-02-20,201.97,200.0,203.8,199.57,11077662,1.59,-0.68,2.28,1.1,52.36,,,0.0
2013-02-21,199.67,197.73,200.33,196.5,15478765,1.25,-0.82,2.07,0.86,46.33,,,0.0
2013-02-22,197.33,194.67,198.83,193.73,9779751,0.73,-1.08,1.8,0.66,39.69,,,0.0
2013-02-25,195.27,195.1,196.57,192.73,8252076,0.34,-1.17,1.51,0.69,40.97,,,0.0
2013-02-26,195.33,193.9,198.9,192.53,10622350,-0.06,-1.26,1.2,0.63,38.51,,,0.0
2013-02-27,194.67,196.53,198.27,194.17,15952840,-0.17,-1.09,0.92,0.86,46.14,,,0.0
2013-02-28,197.23,196.53,202.6,194.13,48343608,-0.25,-0.94,0.69,0.86,46.14,,,0.0
2013-03-01,196.67,194.17,198.47,192.67,16860883,-0.5,-0.95,0.45,0.69,40.86,,,0.0
2013-03-04,194.17,195.0,196.03,189.73,13728001,-0.62,-0.86,0.24,0.76,43.32,,,0.0
2013-03-05,195.8,195.07,198.47,193.33,15225028,-0.7,-0.75,0.05,0.77,43.53,,,0.0
2013-03-06,197.23,191.37,197.23,190.9,14403429,-1.05,-0.88,-0.17,0.56,35.87,,,0.0
2013-03-07,190.77,194.9,196.53,190.17,15833941,-1.04,-0.69,-0.34,0.84,45.69,,,0.0
2013-03-08,196.3,198.47,199.33,194.97,9024817,-0.73,-0.31,-0.42,1.15,53.45,,,0.0
2013-03-11,198.67,198.37,199.67,197.67,6630250,-0.48,-0.05,-0.43,1.14,53.23,195.86,,0.0
2013-03-12,197.93,199.23,200.3,196.8,6036135,-0.22,0.17,-0.39,1.22,55.01,196.02,,0.0
2013-03-13,198.67,201.1,201.83,198.67,11207541,0.14,0.42,-0.28,1.42,58.71,196.23,,0.0
2013-03-14,201.1,201.27,202.6,200.0,8280219,0.43,0.57,-0.14,1.44,59.04,196.48,,0.0
2013-03-15,201.37,201.27,202.0,200.77,9436957,0.66,0.64,0.02,1.44,59.04,196.74,,0.0
2013-03-18,200.53,202.83,203.6,200.37,6060291,0.95,0.75,0.21,1.65,62.25,197.07,,0.0
2013-03-19,204.67,204.2,205.0,202.43,12761859,1.28,0.86,0.42,1.85,64.85,197.35,,0.0
2013-03-20,203.33,204.8,205.33,202.77,15227896,1.57,0.92,0.65,1.94,65.96,197.72,,0.0
2013-03-21,204.83,203.33,205.27,202.8,14061256,1.66,0.81,0.85,1.56,60.9,198.04,,0.0
2013-03-22,204.27,203.73,204.67,202.1,7699473,1.75,0.72,1.03,1.61,61.76,198.47,,0.0
2013-03-25,204.1,201.6,205.33,200.83,9199464,1.63,0.47,1.15,1.21,54.84,198.79,,0.0
2013-03-26,202.0,204.23,205.33,201.33,8976724,1.72,0.46,1.26,1.54,60.7,199.09,,0.0
2013-03-28,205.13,206.3,206.67,203.07,12478045,1.94,0.54,1.4,1.82,64.59,199.43,,0.0
2013-04-01,206.0,204.8,206.6,203.8,4059382,1.97,0.46,1.51,1.5,59.95,199.72,,0.0
2013-04-02,204.4,204.77,205.73,202.93,6130062,1.97,0.36,1.61,1.49,59.86,199.99,,0.0
2013-04-03,204.63,205.07,206.27,202.9,7238014,1.97,0.29,1.68,1.53,60.52,200.2,,0.0
2013-04-04,204.6,199.7,204.9,199.07,6659119,1.52,-0.13,1.65,0.85,46.02,200.34,,0.0
2013-04-05,199.63,194.2,199.63,193.33,10561180,0.71,-0.75,1.46,0.57,36.41,200.32,,0.0
2013-04-08,194.97,195.23,195.87,190.4,7556482,0.15,-1.05,1.2,0.64,38.98,200.26,,0.0
2013-04-09,195.5,191.47,196.97,190.63,9315192,-0.59,-1.43,0.84,0.51,33.63,200.09,,0.0
2013-04-10,194.0,189.9,194.0,187.43,13420989,-1.29,-1.7,0.41,0.46,31.68,199.88,,0.0
2013-04-11,191.73,190.2,192.57,188.9,15278118,-1.8,-1.77,-0.03,0.48,32.49,199.61,,0.0
2013-04-12,191.9,195.27,197.1,190.67,12941671,-1.77,-1.39,-0.38,0.8,44.43,199.46,,0.0
2013-04-15,194.67,199.97,200.6,192.8,11249872,-1.35,-0.78,-0.57,1.12,52.78,199.36,,0.0
2013-04-16,199.9,205.3,205.93,198.47,10081098,-0.59,-0.01,-0.57,1.51,60.09,199.34,,0.0
2013-04-17,205.33,208.73,209.33,204.73,11273971,0.29,0.69,-0.4,1.77,63.96,199.42,,0.0
2013-04-18,207.4,210.2,211.0,206.87,8825869,1.1,1.2,-0.1,1.9,65.51,199.59,,0.0
2013-04-22,209.1,211.33,212.0,208.7,6824172,1.81,1.53,0.28,2.0,66.69,199.75,,0.0
2013-04-23,211.67,211.73,212.0,209.37,4370820,2.37,1.67,0.7,2.04,67.12,199.93,,0.0
2013-04-25,210.23,213.23,215.5,210.13,18560941,2.91,1.77,1.14,2.2,68.74,200.17,,0.0
2013-04-26,211.67,212.6,213.23,211.13,6455634,3.24,1.68,1.56,2.05,67.24,200.44,,0.0
2013-04-29,212.07,216.43,216.67,211.1,6204319,3.78,1.77,2.0,2.49,71.35,200.77,,0.0
2013-04-30,217.33,219.23,223.73,217.33,12815412,4.37,1.9,2.48,2.83,73.92,201.15,,0.0
2013-05-02,218.37,222.37,223.3,216.8,9189453,5.04,2.05,2.99,3.25,76.47,201.58,,0.0
2013-05-03,222.1,220.47,222.27,219.27,8680503,5.36,1.89,3.46,2.56,71.89,201.98,,0.0
2013-05-06,220.0,217.47,221.67,216.93,3957778,5.3,1.47,3.83,1.88,65.24,202.33,,0.0
2013-05-07,217.4,223.53,224.0,217.4,7669528,5.68,1.48,4.2,2.46,71.06,202.78,,0.0
2013-05-08,224.5,228.53,229.87,222.9,7133002,6.32,1.69,4.62,2.97,74.81,203.35,,0.0
2013-05-09,229.63,229.67,230.63,227.77,6004227,6.83,1.76,5.07,3.1,75.59,203.99,,0.0
2013-05-10,229.07,235.43,236.1,228.0,9901381,7.62,2.04,5.58,3.78,79.09,204.8,,0.0
2013-05-13,236.0,223.87,236.0,222.9,16419213,7.22,1.32,5.9,1.52,60.35,205.38,,0.0
2013-05-14,225.93,223.9,226.57,222.03,10203168,6.83,0.74,6.09,1.52,60.38,205.98,,0.0
